"ID","Alg","n","Scheduling_route","T_k","TC_k","Obj"
"41","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-0 | R2: 0-5-4-1-2-3-31-32-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1016.811 / 611.650 / 1010.564","77.490 / 49.803 / 96.364","601.550 / 223.656 / 405.160"
"42","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-0 | R2: 0-4-1-2-3-31-32-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1016.811 / 612.079 / 1010.564","77.490 / 49.806 / 96.364","602.043 / 223.659 / 404.731"
"43","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-4-0 | R2: 0-1-2-3-31-32-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1086.878 / 546.160 / 1010.564","84.218 / 43.060 / 96.364","602.313 / 223.642 / 540.718"
"44","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-0 | R2: 0-5-31-32-3-2-1-4-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1016.811 / 612.351 / 1010.564","77.490 / 49.807 / 96.364","602.356 / 223.661 / 404.459"
"45","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-0 | R2: 0-5-1-2-3-4-32-31-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1016.811 / 614.004 / 1010.564","77.490 / 49.818 / 96.364","604.257 / 223.672 / 402.806"
"46","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-0 | R2: 0-5-31-32-4-2-3-1-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1016.811 / 614.417 / 1010.564","77.490 / 49.821 / 96.364","604.731 / 223.675 / 402.394"
"47","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-0 | R2: 0-5-1-2-3-31-32-4-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1016.811 / 614.996 / 1010.564","77.490 / 49.825 / 96.364","605.397 / 223.678 / 401.815"
"48","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-4-0 | R2: 0-1-2-3-30-31-32-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","990.421 / 644.141 / 1010.564","76.522 / 50.789 / 96.364","606.450 / 223.676 / 366.423"
"49","DRL-MA","3","R1: 0-6-20-21-22-23-24-25-26-27-28-29-0 | R2: 0-1-2-3-30-31-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-0","1017.071 / 708.093 / 920.023","77.517 / 57.522 / 88.661","608.911 / 223.700 / 308.977"
"50","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-0 | R2: 0-1-2-3-30-31-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","927.034 / 708.093 / 1010.564","69.817 / 57.522 / 96.364","609.465 / 223.703 / 302.471"
"51","DRL-MA","3","R1: 0-12-20-21-22-23-24-25-26-27-28-29-0 | R2: 0-1-2-3-30-31-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-6-0","978.639 / 708.093 / 959.428","76.349 / 57.522 / 89.833","609.820 / 223.704 / 270.545"
"52","DRL-MA","3","R1: 0-14-20-21-22-23-24-25-26-27-28-29-0 | R2: 0-1-2-3-30-31-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-13-12-6-0","961.626 / 708.093 / 977.346","75.786 / 57.522 / 90.397","610.301 / 223.705 / 269.252"
"53","DRL-MA","3","R1: 0-12-20-21-22-23-24-25-26-27-28-29-0 | R2: 0-5-4-1-2-3-30-31-32-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-6-0","978.639 / 709.631 / 959.428","76.349 / 57.532 / 89.833","611.588 / 223.714 / 269.008"
